batch_size,lr_opt,alpha,psnr_mean_avg,psnr_std,ssim_mean_avg,ssim_std,mse_avg,mse_std,num_runs
1,0.01,0.01,9.23,1.67,0.0785,0.0328,0.128985,0.053253,5
1,0.01,0.05,11.77,1.11,0.1689,0.0449,0.068827,0.018157,5
1,0.01,0.1,13.13,1.18,0.2393,0.0255,0.050514,0.014663,5
1,0.01,0.2,14.47,1.75,0.2282,0.0394,0.038715,0.015325,5
1,0.01,0.5,12.88,0.95,0.2185,0.0335,0.052724,0.010649,5
1,0.01,1.0,14.88,1.52,0.2372,0.0552,0.034474,0.011517,5
1,0.05,0.01,14.39,4.20,0.2248,0.0992,0.053132,0.036597,5
1,0.05,0.05,25.98,4.98,0.4388,0.0743,0.004692,0.004917,5
1,0.05,0.1,27.16,4.62,0.5211,0.1064,0.003167,0.002873,5
1,0.05,0.2,27.33,4.38,0.4906,0.0482,0.002704,0.001884,5
1,0.05,0.5,29.97,3.44,0.5739,0.0946,0.001361,0.001068,5
1,0.05,1.0,30.25,1.63,0.5595,0.0611,0.001013,0.000388,5
1,0.1,0.01,32.24,2.63,0.6555,0.0787,0.000694,0.000321,5
1,0.1,0.05,34.14,6.32,0.7184,0.1299,0.000919,0.001046,5
1,0.1,0.1,40.46,3.27,0.8558,0.0596,0.000119,0.000095,5
1,0.1,0.2,41.06,2.97,0.8679,0.0596,0.000096,0.000053,5
1,0.1,0.5,41.51,3.93,0.8751,0.0727,0.000099,0.000075,5
1,0.1,1.0,39.67,6.90,0.8506,0.1212,0.000414,0.000684,5
2,0.01,0.01,9.87,0.84,0.1012,0.0405,0.105482,0.020662,5
2,0.01,0.05,11.02,0.76,0.1316,0.0288,0.083539,0.013903,5
2,0.01,0.1,12.75,0.67,0.1679,0.0244,0.055817,0.006549,5
2,0.01,0.2,11.71,0.59,0.1488,0.0150,0.072940,0.011104,5
2,0.01,0.5,12.45,0.71,0.1681,0.0258,0.058997,0.011522,5
2,0.01,1.0,11.58,0.81,0.1567,0.0166,0.074606,0.011034,5
2,0.05,0.01,16.36,1.50,0.2702,0.0117,0.031236,0.009131,5
2,0.05,0.05,20.67,0.98,0.3691,0.0373,0.009235,0.001970,5
2,0.05,0.1,21.56,1.61,0.3461,0.0487,0.008280,0.002323,5
2,0.05,0.2,21.87,2.26,0.3844,0.0162,0.009946,0.005494,5
2,0.05,0.5,20.44,2.43,0.3016,0.0912,0.011473,0.004845,5
2,0.05,1.0,18.78,0.59,0.2773,0.0372,0.015358,0.003819,5
2,0.1,0.01,25.24,4.05,0.4559,0.0640,0.006418,0.005713,5
2,0.1,0.05,30.10,1.81,0.5663,0.0396,0.001118,0.000433,5
2,0.1,0.1,25.20,8.08,0.4410,0.1767,0.026193,0.048503,5
2,0.1,0.2,26.09,3.69,0.4413,0.1230,0.003827,0.003675,5
2,0.1,0.5,26.59,2.19,0.4350,0.0406,0.002744,0.001542,5
2,0.1,1.0,19.17,6.38,0.3106,0.1410,0.034658,0.044278,5
4,0.01,0.01,10.21,0.23,0.1028,0.0181,0.098233,0.003947,5
4,0.01,0.05,10.18,0.28,0.0999,0.0148,0.098613,0.006161,5
4,0.01,0.1,10.91,0.84,0.0895,0.0241,0.088477,0.017900,5
4,0.01,0.2,10.19,0.40,0.0798,0.0082,0.100629,0.007729,5
4,0.01,0.5,10.09,0.09,0.0818,0.0118,0.101724,0.004611,5
4,0.01,1.0,10.05,0.66,0.0745,0.0087,0.104858,0.014048,5
4,0.05,0.01,13.84,3.62,0.1809,0.0735,0.057792,0.034451,5
4,0.05,0.05,12.96,1.61,0.1573,0.0479,0.056384,0.022213,5
4,0.05,0.1,12.89,0.54,0.2061,0.0321,0.056765,0.009700,5
